Product_Name,Customer_Name,date_time,Price_Product,Customer_email,Name_cashier,mobile_number,Transportation_fare,amount_discount,Amount_received
Breakfast Quesadillas,Tawnya,11/29/2023,$9.30 ,mdankw@hud.gov,Mitch,777-975-9854,$8.53 ,$8.80 ,$8.51 
Jolt Cola - Electric Blue,Jacqui,4/17/2023,$2.17 ,cbeeckxx@sciencedaily.com,Clarey,117-845-2221,$3.42 ,$3.35 ,$1.19 
Cookies Almond Hazelnut,Trumaine,10/28/2023,$1.45 ,hchesmany@ihg.com,Harold,644-304-6966,$9.11 ,$9.84 ,$7.62 
Cake - Miini Cheesecake Cherry,Fons,5/29/2023,$0.36 ,lweichz@printfriendly.com,Luelle,486-593-7418,$0.29 ,$7.09 ,$1.21 
Mussels - Cultivated,Odette,6/17/2023,$0.14 ,fgierok10@clickbank.net,Feliks,772-227-2493,$7.02 ,$5.61 ,$8.57 
Yoghurt Tubes,Bethina,5/13/2023,$9.60 ,teacott11@prlog.org,Thedrick,240-935-3595,$5.55 ,$1.54 ,$4.23 
Wine - Prosecco Valdobiaddene,Lari,11/25/2023,$7.32 ,celcocks12@webs.com,Catriona,223-649-4776,$2.70 ,$7.96 ,$6.23 
Gelatine Leaves - Bulk,Lazaro,3/9/2023,$8.26 ,fhatherleigh13@boston.com,Florri,355-368-6193,$9.18 ,$4.72 ,$3.89 
Ginger - Crystalized,Vern,8/17/2023,$1.14 ,mdodell14@sohu.com,Morganne,830-702-3859,$4.71 ,$0.32 ,$3.10 
Pork Salted Bellies,Alberto,10/25/2023,$8.10 ,pvanacci15@wsj.com,Penni,294-134-5214,$2.33 ,$4.32 ,$4.54 
"Soup - Campbells, Butternut",Michel,5/28/2023,$4.18 ,rpovlsen16@shinystat.com,Rycca,382-360-0163,$3.92 ,$1.32 ,$8.22 
Nantucket - 518ml,Donica,4/30/2023,$0.78 ,pmcquorkel17@blogger.com,Perren,982-732-8065,$5.87 ,$8.38 ,$0.51 
Tea - Camomele,Aurlie,8/17/2023,$2.77 ,lfarmloe18@oakley.com,Loise,424-651-6581,$2.97 ,$0.99 ,$9.14 
Beer - Rickards Red,Christiano,9/30/2023,$1.86 ,smerriott19@lulu.com,Sol,814-580-3493,$9.31 ,$2.25 ,$7.02 
Campari,Fiorenze,12/8/2023,$3.40 ,fvanbruggen1a@1und1.de,Fredrika,243-952-4514,$6.58 ,$0.84 ,$6.99 
Nougat - Paste / Cream,Devy,3/22/2023,$5.88 ,iworthy1b@weather.com,Ive,309-545-9829,$4.91 ,$6.83 ,$6.99 
Jam - Apricot,Verina,7/21/2023,$2.14 ,nmcfie1c@bing.com,Nanette,531-578-4976,$8.10 ,$2.44 ,$2.36 
Wine - Barbera Alba Doc 2001,Delia,3/4/2023,$5.16 ,gcolthurst1d@pinterest.com,Giraud,137-228-6184,$2.68 ,$9.36 ,$0.18 
Beef Dry Aged Tenderloin Aaa,Aridatha,9/15/2023,$6.53 ,drennles1e@baidu.com,Dominique,497-927-8490,$7.92 ,$2.52 ,$0.02 
Walkers Special Old Whiskey,Cristabel,5/15/2023,$8.05 ,kpotebury1f@paginegialle.it,Klarrisa,964-715-1897,$1.81 ,$1.22 ,$0.77 
Beef - Shank,Lois,5/4/2023,$3.81 ,thattiff1g@adobe.com,Trumaine,754-896-0428,$7.45 ,$7.81 ,$5.77 
Steam Pan Full Lid,Gale,8/13/2023,$2.84 ,gphinnis1h@dailymotion.com,Geoffrey,719-415-4594,$0.54 ,$8.13 ,$1.56 
Cheese - Pied De Vents,Gratiana,5/14/2023,$0.97 ,kharriday1i@scientificamerican.com,Kriste,484-643-1271,$8.58 ,$0.97 ,$3.04 
Beans - Yellow,Drucill,8/27/2023,$7.39 ,ozettler1j@dmoz.org,Olia,512-488-8201,$7.59 ,$0.19 ,$2.16 
Duck - Whole,Brand,6/14/2023,$1.09 ,mgonnely1k@google.nl,Melamie,273-744-5576,$2.89 ,$9.12 ,$8.09 
Lentils - Green Le Puy,Byram,8/4/2023,$2.62 ,ljaukovic1l@virginia.edu,Lorette,582-856-5656,$3.79 ,$2.64 ,$9.10 
"Fish - Soup Base, Bouillon",Georgena,5/25/2023,$1.10 ,bpavel1m@patch.com,Bobbye,809-302-3470,$4.90 ,$7.77 ,$5.38 
Soho Lychee Liqueur,Sutton,6/19/2023,$1.33 ,llobell1n@hugedomains.com,Luigi,451-485-6782,$4.16 ,$4.44 ,$0.12 
Banana - Leaves,Galven,7/31/2023,$1.06 ,jharrigan1o@nytimes.com,Jade,433-161-0167,$2.95 ,$6.32 ,$6.62 
Ice Cream Bar - Hageen Daz To,Marybeth,4/5/2023,$8.13 ,bbertie1p@hugedomains.com,Buck,572-943-7999,$9.49 ,$7.77 ,$4.25 
The Pop Shoppe - Grape,Flory,4/5/2023,$1.62 ,cletertre1q@shinystat.com,Christen,372-173-4143,$2.31 ,$5.33 ,$5.88 
"Mustard - Dry, Powder",Gage,3/7/2023,$3.32 ,cfussie1r@miibeian.gov.cn,Culley,152-380-5818,$0.94 ,$3.20 ,$7.53 
"Veal - Tenderloin, Untrimmed",Ward,11/15/2023,$8.34 ,cskaifedingerthorpe1s@vk.com,Calhoun,604-592-8795,$7.97 ,$9.94 ,$1.34 
Tomatoes - Orange,Nicky,5/28/2023,$8.57 ,ohymus1t@paypal.com,Otto,264-937-8131,$3.09 ,$3.15 ,$9.91 
Beer - Mill St Organic,Gaven,12/11/2023,$1.99 ,dsivil1u@google.es,Dal,623-492-0293,$9.16 ,$9.99 ,$7.60 
Icecream - Dibs,Loretta,5/9/2023,$4.08 ,jabrahams1v@deviantart.com,Jeffry,176-118-6145,$7.57 ,$5.12 ,$6.39 
Wine - Sogrape Mateus Rose,Spencer,12/17/2023,$2.23 ,mchue1w@meetup.com,Marthe,448-383-6528,$2.90 ,$7.36 ,$8.10 
"Sauce - Black Current, Dry Mix",Daisie,1/1/2024,$5.90 ,rprosser1x@etsy.com,Reid,890-885-8958,$4.96 ,$8.50 ,$7.14 
"Dill - Primerba, Paste",Rubina,4/27/2023,$8.85 ,tstuck1y@washington.edu,Tildie,995-300-0114,$9.86 ,$5.38 ,$2.62 
Appetizer - Seafood Assortment,Karry,10/29/2023,$7.94 ,fdennison1z@instagram.com,Freddy,497-364-2665,$2.96 ,$5.86 ,$7.82 
Lemons,Glenine,6/14/2023,$4.71 ,jdo20@abc.net.au,Jerrome,645-140-2675,$3.58 ,$5.84 ,$6.46 
Buffalo - Striploin,Arlie,12/11/2023,$6.60 ,tmockes21@huffingtonpost.com,Tammy,976-675-0006,$7.54 ,$7.94 ,$6.42 
"Sauce - Gravy, Au Jus, Mix",Ade,8/14/2023,$9.59 ,aismirnioglou22@dailymotion.com,Andy,466-632-2108,$6.30 ,$7.38 ,$8.60 
Veal - Inside,Sherlocke,10/10/2023,$9.36 ,dthorsby23@cam.ac.uk,Daron,865-793-0415,$0.97 ,$0.22 ,$4.77 
Island Oasis - Sweet And Sour Mix,Wait,12/12/2023,$1.76 ,athexton24@etsy.com,Andie,236-613-6186,$6.22 ,$0.57 ,$6.53 
Wine - Sawmill Creek Autumn,Adrian,8/18/2023,$7.93 ,ubalaison25@oracle.com,Ulises,614-689-6169,$8.31 ,$4.36 ,$4.53 
Pur Value,Rossy,3/15/2023,$0.47 ,mstuart26@instagram.com,Margret,654-241-4814,$5.72 ,$8.11 ,$8.42 
"Nut - Almond, Blanched, Sliced",Heda,11/6/2023,$8.74 ,mwimes27@unicef.org,Maighdiln,190-666-4600,$3.19 ,$9.59 ,$8.01 
Red Cod Fillets - 225g,Caleb,8/2/2023,$2.56 ,deverill28@berkeley.edu,Demeter,138-254-4103,$1.22 ,$4.09 ,$5.29 
Wine - Manischewitz Concord,Cassaundra,8/20/2023,$9.70 ,estrangeway29@360.cn,Estell,524-259-8361,$8.25 ,$0.11 ,$0.87 
Mints - Striped Red,Mort,1/31/2023,$3.82 ,yseagrave2a@springer.com,Yetta,254-901-1150,$4.67 ,$4.44 ,$3.44 
Bagel - Ched Chs Presliced,Frederick,7/5/2023,$9.71 ,kcortez2b@cocolog-nifty.com,Kendricks,667-847-5223,$5.09 ,$4.97 ,$7.77 
Oven Mitts - 15 Inch,Chiarra,9/11/2023,$9.16 ,fbarneveld2c@china.com.cn,Floyd,294-739-7389,$9.71 ,$9.75 ,$5.75 
Turkey Leg With Drum And Thigh,Cheston,1/25/2023,$8.56 ,smcgiffin2d@eventbrite.com,Sherie,822-313-6492,$8.95 ,$5.85 ,$2.02 
Wine - Two Oceans Cabernet,Otho,9/25/2023,$2.68 ,wmarin2e@skype.com,Wolfgang,273-543-9802,$2.82 ,$3.40 ,$3.97 
Compound - Raspberry,Kiri,11/21/2023,$4.09 ,tschulke2f@hexun.com,Truman,414-542-8706,$9.50 ,$7.91 ,$6.76 
Ostrich - Prime Cut,Laurens,1/18/2023,$3.88 ,bmacardle2g@photobucket.com,Boot,439-285-7005,$2.23 ,$2.17 ,$0.56 
Ecolab - Ster Bac,Pavel,5/27/2023,$3.35 ,ebroyd2h@disqus.com,Emmy,643-346-3943,$0.97 ,$7.56 ,$4.44 
"Pasta - Elbows, Macaroni, Dry",Aubree,3/5/2023,$2.94 ,cdarlington2i@ezinearticles.com,Carver,418-241-2076,$1.14 ,$9.73 ,$0.13 
Beans - Kidney White,Elvis,7/17/2023,$5.62 ,mwarbrick2j@boston.com,Maurise,444-503-6830,$2.04 ,$5.14 ,$0.62 
Chips - Potato Jalapeno,Asa,7/10/2023,$1.42 ,soxbrough2k@free.fr,Starlene,942-384-6419,$0.41 ,$1.69 ,$2.31 
"Nut - Pistachio, Shelled",Imogen,2/11/2023,$7.02 ,bgayton2l@4shared.com,Beret,363-968-3101,$2.33 ,$1.85 ,$1.78 
Tea - Herbal Sweet Dreams,Jobyna,10/16/2023,$5.84 ,cjerams2m@youtu.be,Chev,401-903-2539,$5.00 ,$8.66 ,$9.20 
Bowl 12 Oz - Showcase 92012,Irving,11/3/2023,$2.53 ,blamey2n@reuters.com,Brennan,156-890-4159,$1.47 ,$6.07 ,$7.72 
"Shrimp - Baby, Warm Water",Gilda,3/30/2023,$0.58 ,tdye2o@msn.com,Tamiko,253-628-1026,$2.38 ,$7.54 ,$7.21 
"Gin - Gilbeys London, Dry",Joby,4/14/2023,$6.52 ,qsawrey2p@nasa.gov,Quintilla,248-386-7526,$5.74 ,$9.01 ,$1.22 
Lumpfish Black,Tybalt,6/22/2023,$9.85 ,gtissiman2q@elegantthemes.com,Gaylor,291-708-5904,$0.66 ,$8.57 ,$4.19 
Cinnamon - Ground,Laurence,9/27/2023,$9.72 ,tfrancesconi2r@weather.com,Truman,490-895-6190,$7.69 ,$5.92 ,$9.06 
Sproutsmustard Cress,Frances,3/9/2023,$8.61 ,cferraretto2s@bravesites.com,Cinda,597-646-0234,$2.80 ,$6.88 ,$8.60 
Olives - Morracan Dired,Bird,12/2/2023,$1.97 ,gavramov2t@hubpages.com,Garreth,195-745-2224,$7.19 ,$4.73 ,$5.78 
Rum - Mount Gay Eclipes,Thaddeus,3/20/2023,$2.32 ,rolphert2u@scribd.com,Rozele,935-776-9057,$2.65 ,$7.32 ,$4.46 
"Bar Mix - Pina Colada, 355 Ml",Blane,10/18/2023,$7.27 ,mdeanesy2v@godaddy.com,Mikaela,616-776-1952,$1.90 ,$7.60 ,$4.61 
"Asparagus - White, Canned",Jasmina,8/17/2023,$4.16 ,blarwell2w@dell.com,Barbra,424-878-8931,$4.70 ,$3.92 ,$5.19 
"Cup - 6oz, Foam",Pincus,12/14/2023,$4.66 ,lkulver2x@loc.gov,Lacee,704-869-3923,$4.78 ,$6.20 ,$1.76 
Buffalo - Striploin,Leupold,10/23/2023,$7.05 ,bbaskwell2y@mozilla.com,Bryana,915-166-4124,$0.86 ,$2.24 ,$7.24 
Sandwich Wrap,Sylvan,6/5/2023,$9.27 ,kharriot2z@scientificamerican.com,Kellia,149-603-5164,$9.31 ,$5.98 ,$1.18 
"Stock - Chicken, White",Gabriel,9/24/2023,$0.19 ,haleshkov30@blogspot.com,Henrietta,191-729-7127,$6.21 ,$4.89 ,$5.18 
Containter - 3oz Microwave Rect.,Rhiamon,8/19/2023,$7.46 ,sworvell31@umich.edu,Stephen,498-223-2335,$2.70 ,$7.54 ,$6.13 
Sauce - Roasted Red Pepper,Basilius,2/14/2023,$7.53 ,hmacro32@cornell.edu,Howard,633-177-5589,$5.57 ,$7.98 ,$3.03 
"Beef - Baby, Liver",Mehetabel,4/6/2023,$9.90 ,avido33@biblegateway.com,Abbye,843-833-2656,$5.89 ,$8.77 ,$7.77 
"Lemonade - Kiwi, 591 Ml",Dulcine,12/23/2023,$3.23 ,dbremner34@nps.gov,Dinny,493-499-8433,$2.20 ,$7.30 ,$8.93 
Kaffir Lime Leaves,Fidela,9/2/2023,$2.56 ,mgouldbourn35@de.vu,Mordecai,263-847-0820,$5.62 ,$3.15 ,$9.64 
Water - Spring 1.5lit,Allyson,12/1/2023,$2.09 ,esemper36@1688.com,Estrellita,158-503-4476,$2.68 ,$1.91 ,$7.99 
Garlic - Elephant,Christie,9/30/2023,$5.76 ,jemmitt37@miibeian.gov.cn,Jelene,491-839-1458,$5.53 ,$2.75 ,$9.07 
Chocolate - Semi Sweet,Elbertine,6/18/2023,$9.87 ,pcollingdon38@hao123.com,Palm,473-595-6199,$6.69 ,$7.45 ,$9.89 
Kahlua,Bobbette,4/15/2023,$6.95 ,ofeander39@discuz.net,Odella,447-363-8453,$7.01 ,$5.05 ,$6.18 
"Flour - Corn, Fine",Ann,2/8/2023,$4.29 ,kmarson3a@gov.uk,Karie,756-406-0903,$3.38 ,$7.49 ,$9.39 
Tomato - Green,Homerus,9/20/2023,$5.13 ,lbettison3b@surveymonkey.com,Lebbie,251-420-6462,$5.12 ,$8.79 ,$9.60 
Nectarines,Jon,7/11/2023,$9.12 ,kdenison3c@msn.com,Kellen,603-804-7951,$0.08 ,$8.76 ,$0.02 
Fondant - Icing,Quintina,2/5/2023,$8.59 ,swakes3d@google.es,Shannan,376-235-1008,$6.36 ,$2.91 ,$2.20 
"Soup - Campbells, Cream Of",Evangelina,11/30/2023,$1.27 ,bswatten3e@clickbank.net,Biron,464-451-5906,$5.44 ,$6.86 ,$5.27 
Coffee - Flavoured,Dori,8/12/2023,$2.35 ,cveare3f@cocolog-nifty.com,Cyrus,598-580-8876,$3.47 ,$6.70 ,$0.38 
Vaccum Bag 10x13,Corinna,12/19/2023,$8.02 ,tyeoman3g@google.ca,Tremayne,331-852-0549,$0.91 ,$9.92 ,$1.99 
Towel Dispenser,Heida,4/21/2023,$6.46 ,kpiris3h@merriam-webster.com,Keen,762-164-1604,$5.82 ,$1.72 ,$7.42 
Ice Cream - Vanilla,Barton,2/8/2023,$3.18 ,lfuidge3i@t.co,Loraine,342-454-5782,$3.80 ,$5.07 ,$7.87 
Sugar - Invert,Tiffanie,7/1/2023,$7.43 ,dcopello3j@webeden.co.uk,Daryl,237-551-2715,$0.37 ,$4.86 ,$3.52 
"Pail - 15l White, With Handle",Regina,5/15/2023,$1.67 ,gdelgado3k@npr.org,Gerick,383-244-7865,$2.46 ,$9.30 ,$1.58 
Chicken - Bones,Porty,7/4/2023,$4.87 ,astreet3l@angelfire.com,Arleen,495-223-2346,$6.19 ,$4.72 ,$7.09 
Sage Ground Wiberg,Silva,3/8/2023,$2.00 ,cbollum3m@ihg.com,Craggie,918-447-5169,$4.15 ,$9.07 ,$8.05 
Coffee - Flavoured,Wini,11/15/2023,$6.01 ,lstelle3n@paginegialle.it,Lucina,237-563-6600,$4.78 ,$1.08 ,$3.60 
Eggplant - Regular,Gusella,12/29/2023,$8.93 ,ceilert3o@ifeng.com,Camile,985-822-5155,$3.82 ,$8.90 ,$8.07 
"Tortillas - Flour, 8",Kenny,8/24/2023,$3.40 ,pprobet3p@wisc.edu,Pearline,103-444-8599,$6.39 ,$3.36 ,$2.92 
Bread - Pita,Rebecca,4/25/2023,$2.90 ,rhirtzmann3q@oracle.com,Raffarty,697-236-7843,$5.73 ,$8.49 ,$5.89 
Spice - Onion Powder Granulated,Nissy,9/27/2023,$7.96 ,cshuker3r@sbwire.com,Conchita,372-143-9137,$1.39 ,$3.65 ,$7.82 
Magnotta Bel Paese Red,Maren,11/14/2023,$9.06 ,ccastro3s@xrea.com,Candy,987-476-0258,$5.62 ,$3.49 ,$0.36 
Carbonated Water - Lemon Lime,Berrie,9/14/2023,$1.10 ,lbeldum3t@cbc.ca,Lucia,572-995-0947,$4.21 ,$1.08 ,$5.61 
"Pepper - Chipotle, Canned",Iago,5/17/2023,$2.22 ,nramlot3u@newsvine.com,Nonna,220-573-5634,$6.48 ,$4.94 ,$2.17 
Sugar - Palm,Corrianne,8/15/2023,$2.33 ,vwoodstock3v@ed.gov,Van,627-396-8947,$4.08 ,$5.42 ,$8.94 
Wine - Magnotta - Cab Franc,Wes,6/15/2023,$4.50 ,hpomfret3w@va.gov,Hermina,376-138-9118,$8.56 ,$2.35 ,$7.53 
Ice Cream Bar - Hagen Daz,Stephen,8/11/2023,$5.68 ,lbrooksbie3x@narod.ru,Lanny,609-193-5741,$9.17 ,$6.46 ,$1.37 
"Wine - White, Concha Y Toro",Faun,3/26/2023,$9.33 ,bfarris3y@prnewswire.com,Bradan,957-345-1326,$1.25 ,$6.42 ,$5.47 
"Fish - Atlantic Salmon, Cold",Ruy,11/29/2023,$4.80 ,ereynish3z@amazonaws.com,Elijah,689-863-9759,$8.35 ,$8.47 ,$8.62 
Beans - Yellow,Greg,4/6/2023,$9.78 ,ikirby40@wikia.com,Inez,202-694-1414,$2.30 ,$6.53 ,$9.53 
Wine - Two Oceans Cabernet,Jemimah,10/17/2023,$3.23 ,cprandin41@purevolume.com,Cheslie,851-523-2429,$5.66 ,$8.48 ,$0.86 
Pernod,Reider,10/15/2023,$5.73 ,psimmgen42@wikimedia.org,Pauline,129-467-7545,$8.34 ,$4.94 ,$7.83 
Bouq All Italian - Primerba,Orelia,6/17/2023,$2.28 ,emarquess43@timesonline.co.uk,Evanne,178-914-2559,$1.68 ,$2.75 ,$3.23 
Cabbage - Green,Wilow,4/27/2023,$1.92 ,amatuszyk44@who.int,Angil,299-100-2207,$8.30 ,$0.72 ,$5.50 
Cheese Cheddar Processed,Elene,2/6/2023,$7.17 ,etuting45@cornell.edu,Elwyn,928-892-8822,$9.20 ,$6.31 ,$6.64 
Island Oasis - Pina Colada,Franni,7/26/2023,$9.68 ,smackey46@google.ru,Shay,863-673-7162,$4.28 ,$1.61 ,$5.89 
Sobe - Lizard Fuel,Niven,1/12/2023,$6.41 ,fbickmore47@networkadvertising.org,Fionna,719-193-9718,$5.41 ,$1.48 ,$7.38 
Yukon Jack,Evelina,11/8/2023,$8.01 ,afarington48@google.nl,Adriana,254-515-1560,$8.84 ,$7.12 ,$3.34 
Spice - Paprika,Dew,5/8/2023,$0.35 ,aparmley49@house.gov,Arvy,709-885-3102,$4.52 ,$3.71 ,$2.33 
Shrimp - Tiger 21/25,Abbie,1/3/2023,$3.62 ,cwinman4a@opera.com,Carlin,852-486-4899,$0.99 ,$2.98 ,$0.08 
"Juice - Tomato, 10 Oz",Audre,8/21/2023,$4.78 ,rgerriets4b@nature.com,Ree,729-234-8401,$4.16 ,$3.46 ,$8.88 
Tart - Lemon,Noland,4/24/2023,$4.00 ,jgoldin4c@cnet.com,Janeva,319-760-5655,$4.50 ,$6.19 ,$9.28 
Mackerel Whole Fresh,Anneliese,9/25/2023,$6.88 ,oscupham4d@elpais.com,Orlan,142-817-9369,$2.29 ,$1.80 ,$8.23 
Cinnamon Rolls,Joletta,11/14/2023,$4.95 ,ckeeri4e@livejournal.com,Cyndia,124-140-7859,$1.02 ,$0.83 ,$9.76 
Longos - Chicken Caeser Salad,Thomas,11/14/2023,$3.48 ,vvesco4f@angelfire.com,Vivi,895-727-7098,$2.31 ,$0.32 ,$1.89 
Chickensplit Half,Prince,4/3/2023,$9.72 ,ifriel4g@photobucket.com,Irma,352-861-4194,$6.90 ,$1.47 ,$6.34 
Chickensplit Half,Janet,9/3/2023,$0.89 ,tcroisdall4h@eventbrite.com,Tawnya,101-943-9913,$4.10 ,$0.25 ,$7.15 
Numi - Assorted Teas,Clayborne,2/16/2023,$5.70 ,pday4i@slideshare.net,Pia,888-918-1020,$9.71 ,$4.22 ,$7.48 
Sauce Bbq Smokey,Trisha,12/11/2023,$1.00 ,hgillings4j@eepurl.com,Hobart,781-338-5084,$9.75 ,$1.40 ,$8.73 
Crackers - Graham,Prince,6/24/2023,$3.18 ,mweldrake4k@uiuc.edu,Merla,515-751-8761,$7.62 ,$9.98 ,$8.93 
Apricots - Halves,Philis,9/11/2023,$4.99 ,rschnieder4l@amazon.com,Rozanna,542-162-9000,$4.59 ,$7.78 ,$1.06 
Cream - 35%,Cull,7/11/2023,$7.60 ,anottingham4m@nytimes.com,Anthiathia,571-573-8116,$3.41 ,$3.65 ,$6.62 
Yoghurt Tubes,Karita,1/23/2023,$7.10 ,jseydlitz4n@mlb.com,Joannes,254-386-9305,$1.45 ,$4.33 ,$3.64 
Chinese Foods - Chicken,Kristian,7/9/2023,$5.13 ,sjenkison4o@prlog.org,Sky,514-226-2075,$7.37 ,$4.26 ,$2.99 
Onions - Cippolini,Charles,10/31/2023,$9.48 ,dmcturk4p@twitpic.com,Dory,181-792-9970,$3.17 ,$3.74 ,$6.40 
Ecolab - Medallion,Adaline,6/12/2023,$0.85 ,aminchella4q@bizjournals.com,Ambrose,984-914-0053,$8.34 ,$1.15 ,$5.34 
"Bread - Multigrain, Loaf",Berry,12/11/2023,$7.85 ,sdutch4r@bloglines.com,Sophia,628-353-4694,$7.85 ,$9.38 ,$9.33 
Vodka - Moskovskaya,Jillana,10/21/2023,$9.57 ,gbrooksbank4s@census.gov,Gay,592-994-2050,$7.34 ,$6.09 ,$9.66 
Soup Campbells - Italian Wedding,Lindsay,7/25/2023,$5.08 ,hdearing4t@discuz.net,Hamlin,127-560-0316,$3.93 ,$3.28 ,$0.30 
"Fish - Halibut, Cold Smoked",Nicola,6/14/2023,$7.03 ,ehawkett4u@sourceforge.net,Eden,993-942-5028,$1.40 ,$1.38 ,$2.77 
Sugar - Crumb,Evan,11/14/2023,$5.77 ,mleetham4v@dell.com,Meriel,556-179-7177,$3.67 ,$8.65 ,$0.67 
Aspic - Light,Jelene,6/3/2023,$8.35 ,lozelton4w@weebly.com,Lonnard,696-921-7969,$3.25 ,$5.16 ,$1.26 
Cookie - Oreo 100x2,Koenraad,1/14/2023,$4.69 ,rnayer4x@tmall.com,Roanne,110-839-3226,$7.75 ,$7.94 ,$0.26 
Jello - Assorted,Adah,5/5/2023,$9.02 ,itredgold4y@virginia.edu,Ike,362-882-7952,$7.53 ,$4.79 ,$0.09 
